trial,sequence,response,accuracy,positional_accuracy
1,UASGFD,UASGDO,0.6666666666666666,"[1, 1, 1, 1, 0, 0]"
2,WXSJYL,WXYZAL,0.5,"[1, 1, 0, 0, 0, 1]"
3,RBKYWO,RBQAYL,0.3333333333333333,"[1, 1, 0, 0, 0, 0]"
4,AELQKO,ALQKDE,0.16666666666666666,"[1, 0, 0, 0, 0, 0]"
5,LHNDVM,LHNMYD,0.5,"[1, 1, 1, 0, 0, 0]"
6,NCMFZB,NCLUEM,0.3333333333333333,"[1, 1, 0, 0, 0, 0]"
7,NRLVBY,NRLBSU,0.5,"[1, 1, 1, 0, 0, 0]"
8,KWLTIX,KWLTYS,0.6666666666666666,"[1, 1, 1, 1, 0, 0]"
9,DPYHOC,DPYHCL,0.6666666666666666,"[1, 1, 1, 1, 0, 0]"
10,UVHCMJ,UVCLOU,0.3333333333333333,"[1, 1, 0, 0, 0, 0]"
