trial,sequence,response,accuracy,positional_accuracy
1,NJQEZX,NJQESZ,0.6666666666666666,"[1, 1, 1, 1, 0, 0]"
2,GRPTED,GRPTED,1.0,"[1, 1, 1, 1, 1, 1]"
3,AGJYNZ,AGJYNZ,1.0,"[1, 1, 1, 1, 1, 1]"
4,UPIDBM,UPIDBM,1.0,"[1, 1, 1, 1, 1, 1]"
5,VDIPTM,VDIPTM,1.0,"[1, 1, 1, 1, 1, 1]"
6,XMIATG,ATVMTM,0.16666666666666666,"[0, 0, 0, 0, 1, 0]"
7,MHGIWF,MHVQWT,0.5,"[1, 1, 0, 0, 1, 0]"
8,TJCLMG,TJCLMG,1.0,"[1, 1, 1, 1, 1, 1]"
9,YCUSTF,UCVXEF,0.3333333333333333,"[0, 1, 0, 0, 0, 1]"
10,OPSIBD,OPSIBM,0.8333333333333334,"[1, 1, 1, 1, 1, 0]"
