trial,sequence,response,accuracy,subject
1,TIRHC,TIRHC,1.0,clara
2,ETABL,TERBL,0.8,clara
3,LNIYE,LNIYE,1.0,clara
4,DNTFI,DNTIF,1.0,clara
5,IYQDW,IYQDW,1.0,clara
6,QBMTH,QBMTW,0.8,clara
7,RQLVP,RQPTL,0.8,clara
8,SYJAD,SYVDY,0.6,clara
9,EWFNC,WFAYL,0.4,clara
10,IAMLD,IAMLD,1.0,clara
1,HAJDM,HAJDM,1.0,erine
2,CFNQW,CNFQW,1.0,erine
3,MLTCO,MLTCO,1.0,erine
4,HFJPA,HFJPA,1.0,erine
5,RNKIM,RNKIM,1.0,erine
6,NQWSO,NQWSO,1.0,erine
7,JFTKL,JFTKL,1.0,erine
8,HWDEC,HWEDC,1.0,erine
9,WAMGZ,WAMGZ,1.0,erine
10,TCKFI,TCKFI,1.0,erine
1,QBIDA,QBDIA,1.0,zuriel
2,GXHLM,GXHLM,1.0,zuriel
3,TBNLC,TBNLC,1.0,zuriel
4,BNLSF,BNLSF,1.0,zuriel
5,WSBDY,WSBDY,1.0,zuriel
6,AQVPK,AQVPK,1.0,zuriel
7,VUTEN,VUTEN,1.0,zuriel
8,CJOLK,CJOLK,1.0,zuriel
9,YCWHF,YCWHF,1.0,zuriel
10,PCLON,PCLON,1.0,zuriel
1,FUIMN,FUIMN,1.0,joao
2,EZUXH,EZUXH,1.0,joao
3,GMSPD,GMSPD,1.0,joao
4,FWLPC,FWLPC,1.0,joao
5,YUDXC,YUDXC,1.0,joao
6,YLRUA,YLRUA,1.0,joao
7,XKFQS,XKFQS,1.0,joao
8,JPWYS,JPQYS,0.8,joao
9,UNLTI,UNLTI,1.0,joao
10,TKFEI,TKFEI,1.0,joao
