trial,sequence,response,accuracy,subject
1,NJYUOZGFW,NJYOUYGIU,0.6666666666666666,clara
2,GLMPNEZKA,GLMPNEKJD,0.7777777777777778,clara
3,LMYPAXVEJ,LMYPAXVEJ,1.0,clara
4,XJWUGAHLN,XGVOUAOUW,0.5555555555555556,clara
5,XEGYQHZPO,XEGOUSWEH,0.5555555555555556,clara
6,UYVQZJXNB,XNBOUSPUF,0.4444444444444444,clara
7,XTPVFROEU,XTPVFRJHU,0.7777777777777778,clara
8,BUFJQVWNH,BUGJQWWET,0.5555555555555556,clara
9,WJYAZVCGL,AZVCEOSLFD,0.5555555555555556,clara
10,ADOKVRTCY,ADOKNRAGY,0.6666666666666666,clara
1,UEBJYXTOQ,UEBJYXTOQ,1.0,erine
2,IMPQDONFK,IMPQDONFK,1.0,erine
2,IMPQDONFK,,0.0,erine
3,RDILUMJQZ,RDILUMJQZ,1.0,erine
4,LGJZRIWVT,LGIZRIFWT,0.7777777777777778,erine
5,ZVTUCGRLX,ZWTUCGRLX,0.8888888888888888,erine
6,PEJFXBTZK,TZKPEJFEV,0.7777777777777778,erine
7,ZAKIFTXWE,ZAKIFTXWE,1.0,erine
8,KDFVMPZYO,KDFVMPXYO,0.8888888888888888,erine
9,ZQXGYOITM,GYOITMZQX,1.0,erine
10,TQUPCVFBN,FBNTQUMCV,0.8888888888888888,erine
1,OGDHTJFYV,ODJFYVTKLS,0.7777777777777778,zuriel
2,DHIWGLBKR,BKRDHLUPJ,0.6666666666666666,zuriel
3,YZLSGKXAU,XAUYZLBGH,0.7777777777777778,zuriel
4,DYLMWBEZH,EZHMWLYUP,0.7777777777777778,zuriel
5,JPGMOAKUT,KUTMOAJPG,1.0,zuriel
6,PHAFMKQNJ,QBJFMKPHA,0.8888888888888888,zuriel
7,ODUGHPZMV,ZMVGHPODU,1.0,zuriel
8,ILWVCNPOE,POEVCNILW,1.0,zuriel
9,JPQXNLHWZ,JPQXNLHWZ,1.0,zuriel
10,TWUGSVPMX,PMXTWUXNL,0.6666666666666666,zuriel
1,YUZJCKWLH,WLHYUZJLH,0.7777777777777778,joao
2,MDHATELCW,MDHATELCW,1.0,joao
3,OMKBUJTAY,OMKBUJTAY,1.0,joao
4,ADBJRYFMX,ABDJRYFMX,1.0,joao
5,QUWPKDRSO,PKDRSOQUW,1.0,joao
6,CENYGWLDO,CENLDOIGW,0.8888888888888888,joao
7,EZGLWVQHX,LDVQHZMXH,0.6666666666666666,joao
8,XACTWPBLM,XACTLWBLM,0.8888888888888888,joao
9,XNGYPIZKQ,ZQXXNGOYS,0.6666666666666666,joao
10,XYJDEPLCI,XYJDEPLCI,1.0,joao
